               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  48,            0.023708,            0.011918,            0.017693,             0.77262,             0.65195,             0.74665,             0.62016,            0.019598,            0.006937,            0.034289,            0.005347,            0.005347,            0.005347
                  49,            0.023777,            0.011841,            0.016761,             0.77525,              0.6432,             0.74034,             0.61248,            0.020094,           0.0070764,            0.034538,            0.005248,            0.005248,            0.005248
                  50,            0.023221,            0.011665,            0.015999,             0.77891,             0.66844,             0.75953,             0.63432,            0.019603,           0.0069648,            0.031748,            0.005149,            0.005149,            0.005149
                  51,            0.023841,            0.011668,            0.016002,             0.76908,             0.65493,             0.74522,             0.62568,            0.019909,           0.0069818,            0.033485,             0.00505,             0.00505,             0.00505
                  52,            0.022868,            0.011498,            0.015663,             0.80012,             0.64417,             0.75354,             0.62951,            0.019038,           0.0069203,            0.034022,            0.004951,            0.004951,            0.004951
                  53,            0.023082,            0.011433,            0.015867,             0.77315,              0.6789,             0.74962,              0.6283,            0.019599,           0.0071212,            0.032833,            0.004852,            0.004852,            0.004852
                  54,            0.022549,            0.011431,            0.013849,             0.75552,             0.67191,             0.75514,              0.6305,            0.019528,            0.007066,            0.032428,            0.004753,            0.004753,            0.004753
                  55,            0.021977,            0.011199,            0.013817,             0.76557,             0.68181,             0.75751,             0.63596,            0.018763,           0.0068089,            0.031474,            0.004654,            0.004654,            0.004654
                  56,            0.022123,            0.011383,            0.013803,             0.76982,             0.69781,             0.77786,             0.65527,            0.018472,           0.0068767,            0.030973,            0.004555,            0.004555,            0.004555
                  57,            0.021885,            0.011293,            0.013152,             0.84808,             0.66304,               0.785,             0.66386,            0.018501,           0.0068136,            0.031163,            0.004456,            0.004456,            0.004456
                  58,            0.021738,            0.011012,            0.012508,             0.75863,             0.70815,             0.75819,             0.64495,            0.019165,             0.00698,            0.033356,            0.004357,            0.004357,            0.004357
